name,genre,cost,platform,popularity,pegi,year,developer,publisher,region,mode,engine,award,dlc_support,language,metascore,user_score,reviews,rating_source,copies_sold_millions,revenue_millions_usd
Animal Crossing: New Horizons,Action,$23,XBOX,N/A,18,2024,Nintendo,Bandai Namco,NA,Single-player,Frostbite,?,?,EN,N/A,?,1797.9319867455267,Metacritic ,22.7,N/A
Super Mario Odyssey,action,?,pc,?,?,2007,Rockstar,Nintendo,NA/EU,Single ,?,GotY,Unknown,DE,36.2,?,45778.88778013086,Metacritic ,30M,N/A
Red Dead Redemption 2,Indie,Free,Switch ,49,12,9999,Capcom,Sega,EU,Single-player,Custom,GotY,N,?,N/A,?,9331.452111535966,?,30M,$500M
Resident Evil 4,RPG ,$47,XBOX,60,18,2017,nintendo,Square Enix,JP,Single ,Frostbite,None,?,IT,39.2,N/A,27311,OpenCritic,30M,N/A
Untitled Project,Unknown,$57,Nintendo Switch,440.7553854216916,unknown,2004,Nintendo,Ubisoft,JP,Multi ,?,GotY,Y,Multiple,?,5.4,4508,OpenCritic,30M,$500M
Super Mario Odyssey,Racing,N/A,Nintendo Switch,947.2382257817292,18,1997,Square Enix,Ubisoft,NA/EU,Multi ,Unity ,None,?,?,90.2,9/10,?,OpenCritic,N/A,?
Call of Duty: Modern Warfare,Simulation,0,PlayStation,?,?,2019,Microsoft,?,NA,Single ,?,NONE,Yes,EN,90.9,8.9,?,OpenCritic,N/A,?
Apex Legends,action,?,PS,12,3,2002,Unknown,2K,JP,?,Frostbite,None,Unknown,PT,80/100,4.7,78737.7943016101,OpenCritic,?,?
Dark Souls III,Simulation,Free,PlayStation,N/A,3,1996,EA,Bandai Namco,JP,Online,Custom Engine,?,Yes,EN/ES,38.9,2.6,47371,Metacritic ,?,$1B
The Sims 4,Strategy,N/A,Xbox,N/A,?,1990,Ubisoft ,?,JP,Single ,Frostbite,?,No,ES,32.2,N/A,N/A,Metacritic ,N/A,N/A
Dark Souls III,Puzzle,0,Xbox,86,7+,2020,Nintendo,Bandai Namco,Global,Multiplayer,CryEngine,None,Yes,IT,N/A,?,?,Metacritic,37.27,$1B
Doom Eternal,Shooter,Free,PS,N/A,RP,2011,EA,Ubisoft,?,Multi ,Unreal Engine,GOTY ,Unknown,FR,80/100,9/10,11617.971237778791,IGN ,?,?
Doom Eternal,Adventure,?,Mobile,N/A,unknown,2023,nintendo,Microsoft,JP,Online,?,NONE,N,ES,92.1,?,28691,OpenCritic,N/A,$1B
God of War,Action,Free,PS,100,18+,2015,Nintendo,Bandai Namco,?,?,Custom Engine,GOTY ,Unknown,Multiple,80/100,N/A,39879,Metacritic,30M,288.5
Valorant,Sports,$60,PS,471.0060191604131,16,2004,Nintendo,?,NA/EU,Co-op,Unity ,Nominated,Y,CN,N/A,9/10,?,Metacritic,30M,874.3
Unknown Game,Indie,0,Xbox,681.6687201148842,16,2006,CapCom,Microsoft,Global,Online,Custom Engine,GotY,Unknown,DE,80/100,N/A,N/A,Metacritic ,30M,N/A
Elden Ring,RPG,0,PS,?,3,2015,Capcom,?,NA/EU,?,?,GOTY ,Maybe,FR,80/100,N/A,N/A,Metacritic ,40.08,$1B
Resident Evil 4,Racing,59.88,Switch ,283.0283539759187,3,1998,Unknown,Square Enix,EU,Multiplayer,CryEngine,NONE,N,?,N/A,9/10,7666.499927667947,IGN,?,138.2
Sekiro: Shadows Die Twice,?,Free,PS,526.6129140677955,18+,1990,EA,Bandai Namco,Global,Multi ,CryEngine,?,Y,FR,N/A,9/10,N/A,Metacritic,N/A,$500M
NBA 2K24,Indie,?,XBOX,8,18+,1995,Ubisoft,Unknown ,?,Single-player,Unity,None,Unknown,IT,40.5,4.7,25597.70141006318,IGN,1.5M,1542.9
 ,Shooter,$50,PlayStation,N/A,3,9999,Bethesda,Nintendo,NA/EU,Multi ,CryEngine,?,No,Multiple,?,?,N/A,IGN ,?,220.7
The Legend of Zelda: Breath of the Wild,Indie,Free,pc,46.17145899380748,unknown,1990,Nintendo,EA,EU,Single ,Unity ,GotY,No,?,N/A,9/10,?,IGN ,7.56,$1B
N/A,Racing,31.82,XBOX,80,16,2022,Ubisoft ,2K,Global,Single ,Unreal Engine,GOTY ,Yes,EN,80/100,N/A,N/A,Metacritic,30M,$500M
NBA 2K24,Indie,$58,PS,N/A,?,1992,CapCom,Sony,EU,Online,Unreal Engine,NONE,Y,FR,N/A,?,?,IGN,1.5M,$500M
The Witcher 3: Wild Hunt,RPG,$21,Nintendo Switch,?,18,1992,Rockstar,Bandai Namco,Global ,Single ,Unity ,?,?,ES,N/A,?,8838,Metacritic ,30M,?
Unknown Game,Adventure,Free,Nintendo Switch,N/A,?,2014,EA,Nintendo,NA,Single ,Unity ,None,Y,EN/ES,64.8,?,8665.18272642175,IGN ,N/A,$1B
Unknown Game,Racing,$61,Mobile,N/A,7+,2004,Rockstar,IndiePub,JP,Online,Custom Engine,Nominated,Maybe,?,67.4,9/10,9593,OpenCritic,1.5M,?
Resident Evil 4,Adventure,0,PlayStation,18.72947991084373,7,1999,Bethesda,Sega,?,Multi ,?,NONE,?,EN,N/A,9/10,18264,Steam,28.0,?
Hades,Puzzle,Free,XBOX,N/A,?,2014,Bethesda,?,Global ,Multiplayer,Frostbite,GotY,No,EN,?,N/A,24425,IGN ,N/A,$1B
League of Legends,Puzzle,0,XBOX,85.98447998779746,16,2015,CapCom,Activision,NA/EU,Co-op,Frostbite,Indie Award,Maybe,EN/ES,71.4,9/10,N/A,Metacritic ,?,N/A
Assassin’s Creed Valhalla,Action,87.45,Xbox,N/A,?,2007,Microsoft,?,NA,Multi ,Unity ,?,Unknown,DE,?,N/A,?,IGN ,30M,N/A
Elden Ring,Strategy,?,PlayStation,?,?,2023,Microsoft,Microsoft,EU,Co-op,Frostbite,?,Maybe,CN,?,9/10,52843.710195463646,?,?,1131.1
Grand Theft Auto V,Strategy,Free,PC,N/A,7+,2004,CapCom,Sega,Global,Single ,Unity ,GotY,No,CN,24.4,N/A,N/A,?,30M,?
Halo Infinite,Unknown,N/A,PS,N/A,18+,2001,Capcom,Sony,NA,?,Frostbite,GOTY ,Unknown,JP,?,N/A,25583,IGN ,1.5M,1989.2
Untitled Project,Adventure,Free,PlayStation,N/A,18,1990,CapCom,Activision,EU,Single ,CryEngine,GOTY ,No,DE,?,?,90581.11128262807,Metacritic ,1.5M,N/A
Sekiro: Shadows Die Twice,Puzzle,3.18,PS,209.71589263650824,7,2001,nintendo,IndiePub,Global,Multiplayer,Unreal Engine,None,Yes,CN,?,9/10,61230.46895690004,OpenCritic,42.1,$1B
The Legend of Zelda: Breath of the Wild,Shooter,$35,XBOX,N/A,unknown,2023,EA,Sega,NA,Single ,Unity ,None,N,?,N/A,2.8,N/A,OpenCritic,N/A,$1B
Game Prototype,Sports,N/A,PS,97,RP,9999,Unknown,Sega,JP,Single-player,Unity ,None,Yes,EN,N/A,6.8,?,?,N/A,N/A
Final Fantasy VII Remake,Shooter,Free,Mobile,273.1177371274266,7+,2009,Ubisoft ,EA,Global ,Multi ,Custom Engine,Nominated,No,CN,80/100,N/A,96847.96485160328,Steam,48.78,?
Assassin’s Creed Valhalla,RPG ,N/A,PS,889.2757935415108,18+,2002,Unknown,Activision,Global ,Multi ,Custom,?,N,JP,27.7,8.6,?,OpenCritic,32.77,N/A
God of War,Sports,$62,PlayStation,?,18+,1997,CapCom,Bandai Namco,NA,Single ,Unreal Engine,NONE,Unknown,ES,N/A,?,?,Metacritic,30M,?
Dark Souls III,Shooter,0,XBOX,N/A,18+,9999,Square Enix,Sega,EU,?,CryEngine,GotY,Y,IT,83.0,N/A,36816,IGN,30M,$1B
Apex Legends,RPG ,$24,PS,999.7274006997168,18+,2019,Square Enix,Sony,JP,Single ,Custom,?,Maybe,ES,66.6,?,N/A,Steam,?,$1B
Unknown Game,Adventure,55.56,Nintendo Switch,?,18,1994,Bethesda,?,Global,Multi ,Unity ,Nominated,No,PT,?,2.2,?,Metacritic,N/A,$500M
Apex Legends,Adventure,$69,XBOX,56,7+,1991,Rockstar,Activision,NA,?,Unity,Indie Award,Maybe,JP,N/A,8.5,67306.77725832272,IGN ,30M,N/A
Persona 5 Royal,Shooter,$34,PC,31,16,2015,Ubisoft,Square Enix,?,?,Custom,Indie Award,Y,IT,N/A,1.6,N/A,OpenCritic,N/A,?
Red Dead Redemption 2,RPG,N/A,PlayStation,985.9040887848819,?,2003,Nintendo,?,EU,Multi ,Custom Engine,GotY,Y,EN,?,5.4,N/A,?,1.5M,?
The Legend of Zelda: Breath of the Wild,Strategy,111.05,Switch ,?,3,2013,Bethesda,Bandai Namco,Global,Online,Unreal Engine,GOTY ,Y,EN,80/100,?,?,IGN ,?,?
Horizon Zero Dawn,RPG,$43,PlayStation,N/A,12,2016,Nintendo,Unknown ,Global ,Multi ,Custom Engine,GOTY ,Y,EN,80/100,?,21620.18244187982,IGN,?,N/A
 ,Adventure,0,Xbox,582.2504919013193,unknown,2004,Sony,Square Enix,NA/EU,Single-player,Unity ,None,No,Multiple,77.4,2.3,678.6729562395677,IGN,?,1106.1
Unknown Game,Shooter,N/A,Mobile,59,RP,2004,Microsoft,Nintendo,NA/EU,?,Unreal Engine,?,?,DE,80/100,?,?,IGN,N/A,$1B
Animal Crossing: New Horizons,Indie,0,Xbox,N/A,?,2024,EA,Unknown ,Global,Online,Unreal Engine,NONE,Maybe,PT,80/100,N/A,33575.90218594602,IGN ,2.46,1826.8
Valorant,Racing,Free,pc,83,16,2016,Ubisoft ,EA,?,Multi ,Unity ,None,?,EN/ES,N/A,5.1,?,Steam,N/A,44.7
Assassin’s Creed Valhalla,Adventure,$47,PC,74,3,2019,Activision,?,JP,Online,Custom,?,No,EN/ES,N/A,?,46776.30995048907,IGN ,1.5M,?
Elden Ring,Puzzle,?,XBOX,43,?,2003,nintendo,Microsoft,NA,Single-player,Custom,NONE,Yes,EN/ES,N/A,5.1,?,Metacritic,N/A,$1B
Apex Legends,Strategy,Free,PlayStation,19.745796635339374,18,2020,Capcom,Ubisoft,NA/EU,Co-op,Unreal Engine,Indie Award,Yes,?,80/100,9/10,N/A,?,30M,$500M
Animal Crossing: New Horizons,Simulation,49.8,Nintendo Switch,297.762529443965,3,2011,Bethesda,Ubisoft,Global ,Multiplayer,?,GOTY ,Yes,?,N/A,9/10,17106.03393945692,Metacritic ,30M,$500M
Minecraft,Adventure,N/A,Mobile,N/A,18,1988,Nintendo,EA,NA/EU,Single ,Unity,Nominated,N,EN/ES,80/100,?,?,Metacritic,N/A,1419.8
Hades,Indie,N/A,Mobile,?,12,2024,nintendo,Ubisoft,NA/EU,Single ,Unreal Engine,Nominated,Unknown,JP,?,9/10,?,Steam,1.5M,$1B
The Witcher 3: Wild Hunt,Indie,?,Xbox,?,16,2017,Microsoft,Activision,NA/EU,?,Unreal Engine,Indie Award,Maybe,?,80/100,N/A,47192,Metacritic,N/A,?
Red Dead Redemption 2,RPG ,33.45,PC,?,18,2007,EA,Ubisoft,?,Multi ,Unreal Engine,NONE,Unknown,Multiple,83.2,?,98853.27439342064,IGN ,30M,?
Apex Legends,Action,Free,PS,?,?,1988,Square Enix,EA,JP,?,Custom Engine,None,Y,EN,N/A,N/A,63712.96590724587,OpenCritic,30M,N/A
Assassin’s Creed Valhalla,Indie,N/A,XBOX,?,RP,2019,CapCom,Unknown ,JP,Co-op,?,None,Y,Multiple,?,?,5881,Metacritic,N/A,N/A
Call of Duty: Modern Warfare,Adventure,?,XBOX,N/A,unknown,9999,Activision,Square Enix,Global,Online,?,GotY,Y,IT,30.9,?,63561.48529850485,Metacritic,1.5M,N/A
Grand Theft Auto V,Simulation,0,PC,385.5782783064824,3,2014,Nintendo,Activision,Global ,Multi ,Custom Engine,GotY,?,CN,N/A,?,N/A,IGN,N/A,N/A
Halo Infinite,?,Free,Nintendo Switch,471.0586803912754,18+,2014,Square Enix,EA,NA,?,Custom,Nominated,Yes,FR,?,?,N/A,Metacritic,1.5M,?
Unknown Game,Sports,$33,XBOX,?,?,2005,Sony,Unknown ,EU,Single-player,Unreal Engine,Indie Award,Y,FR,?,6.7,47961,Metacritic ,44.26,?
Fortnite,Shooter,Free,Switch ,N/A,7,2016,Activision,Microsoft,?,Single-player,Unity ,Nominated,Y,PT,80/100,?,N/A,IGN ,38.96,$1B
The Legend of Zelda: Breath of the Wild,RPG,$42,XBOX,144.3838043483686,3,2010,Bethesda,Sega,NA,Multi ,CryEngine,GotY,Unknown,?,89.2,9/10,34664,OpenCritic,?,$1B
Ghost of Tsushima,Shooter,$65,pc,19,?,2014,Ubisoft ,Unknown ,EU,Single ,?,Indie Award,Y,JP,N/A,0.9,4676.980198608638,Metacritic,N/A,?
Super Mario Odyssey,RPG ,$35,PS,N/A,RP,1998,nintendo,Square Enix,NA,Online,Unity,?,No,IT,80/100,9/10,?,IGN,1.5M,$500M
Ghost of Tsushima,?,?,Mobile,13,12,2002,Activision,Square Enix,JP,Single ,Custom Engine,None,N,DE,80.4,?,N/A,Steam,N/A,?
God of War,RPG ,$35,PS,61,18+,2021,Ubisoft,?,JP,Multiplayer,Unity,?,Maybe,ES,80/100,?,N/A,Metacritic,N/A,N/A
Animal Crossing: New Horizons,Sports,?,Nintendo Switch,94.20454339965234,7+,2024,Nintendo,IndiePub,EU,Online,Unreal Engine,?,N,FR,80/100,9/10,N/A,Metacritic ,N/A,1869.3
Dark Souls III,Racing,$45,Nintendo Switch,?,unknown,2016,nintendo,Sega,?,Single ,CryEngine,GOTY ,?,?,80/100,?,17659.258418170975,Steam,?,N/A
Persona 5 Royal,Indie,Free,PS,?,7,2024,Ubisoft ,Square Enix,Global ,Single ,Custom,None,Maybe,DE,?,9/10,23379,?,30M,245.8
NBA 2K24,Puzzle,Free,pc,?,RP,2009,Sony,Unknown ,NA,?,?,GotY,Yes,EN/ES,80/100,9/10,N/A,IGN ,11.82,$500M
Assassin’s Creed Valhalla,action,?,Xbox,?,16,1996,Capcom,Unknown ,?,Single-player,Frostbite,NONE,Y,EN,29.1,7.9,?,?,1.5M,$1B
Fortnite,Racing,N/A,Xbox,?,?,1988,Nintendo,IndiePub,EU,?,Custom Engine,GotY,Yes,DE,?,?,224.45564396598172,?,5.6,$1B
Overwatch,Racing,N/A,pc,?,18+,2024,CapCom,Nintendo,JP,Multi ,CryEngine,Indie Award,Maybe,EN/ES,N/A,4.0,28238,Steam,N/A,N/A
Ghost of Tsushima,Puzzle,N/A,Switch ,118.61978880615875,RP,2000,Ubisoft,EA,EU,Online,Frostbite,Nominated,No,CN,80/100,?,43106,?,N/A,$1B
Assassin’s Creed Valhalla,Unknown,$67,PC,42.89734513355703,7+,2023,Bethesda,?,Global,Multi ,Unity ,GOTY ,No,EN,N/A,N/A,3290,Metacritic,25.03,1836.5
Halo Infinite,Adventure,N/A,Mobile,?,RP,1987,Sony,EA,EU,Co-op,Frostbite,?,Unknown,PT,?,N/A,?,IGN,?,$500M
Horizon Zero Dawn,Action,N/A,XBOX,965.043893604341,?,1998,Rockstar,?,Global,Online,Unity ,None,?,JP,?,N/A,N/A,OpenCritic,N/A,N/A
Doom Eternal,RPG,N/A,Switch ,?,7+,2001,Unknown,Ubisoft,JP,Multiplayer,Custom,None,N,DE,80/100,N/A,47618.04056040458,?,33.5,1674.6
Super Mario Odyssey,Sports,N/A,XBOX,?,16,2015,Capcom,2K,JP,Multiplayer,Frostbite,NONE,Maybe,IT,80/100,9/10,94850.31729576184,Steam,N/A,$1B
Doom Eternal,Racing,0,Switch ,2,?,2002,EA,?,NA/EU,Single-player,Custom,GotY,N,ES,N/A,?,?,Metacritic ,1.5M,$500M
 ,Racing,?,PC,499.08169821934314,3,2022,Rockstar,2K,NA,Online,Unity ,?,Unknown,JP,75.0,?,2170.7202459677164,?,27.29,N/A
Resident Evil 4,Shooter,?,Switch ,440.5463942456016,7,1987,Rockstar,Sony,NA/EU,?,Unity,?,Y,PT,80/100,N/A,?,Metacritic,N/A,?
Dark Souls III,Puzzle,$26,Switch ,206.39244905773413,7+,1992,Ubisoft,Sony,EU,?,Unity ,GotY,Yes,JP,41.5,N/A,?,?,1.5M,?
The Legend of Zelda: Breath of the Wild,Action,89.43,pc,94,12,2024,Bethesda,EA,NA/EU,?,Unity,?,Maybe,ES,80/100,N/A,84087.28598915137,Metacritic ,30M,?
Red Dead Redemption 2,action,?,Mobile,N/A,18,2012,Activision,IndiePub,?,?,Custom,GOTY ,Yes,PT,?,?,71708.02062725477,IGN,1.5M,$500M
Doom Eternal,Unknown,?,Switch ,14,12,1986,Nintendo,?,JP,Multi ,Custom Engine,Indie Award,Maybe,EN,N/A,?,12259,IGN ,8.23,$500M
The Sims 4,Strategy,?,PS,N/A,3,2021,Unknown,Nintendo,NA,?,?,GOTY ,Yes,FR,?,N/A,74220.86139652244,OpenCritic,1.5M,?
Final Fantasy VII Remake,action,74.94,Nintendo Switch,367.333904989153,?,2006,CapCom,Sony,EU,Multi ,Unity ,Indie Award,Yes,PT,?,2.7,N/A,?,1.5M,N/A
God of War,Strategy,N/A,Mobile,490.07922957673577,RP,2023,Rockstar,Sony,NA/EU,Multi ,Unity,Nominated,Yes,?,80/100,?,64172.263424279416,Steam,30M,838.5
NBA 2K24,Action,$67,Mobile,?,12,1992,EA,Ubisoft,JP,Single-player,CryEngine,GotY,No,DE,?,3.4,?,?,11.64,1654.7
 ,Action,Free,XBOX,?,18+,2008,Bethesda,EA,Global,Online,Unity,GotY,Maybe,EN,?,N/A,59460.80783632876,IGN ,30M,N/A
Untitled Project,action,$66,Mobile,341.96454564404735,18,2013,Ubisoft ,IndiePub,Global,Multi ,Frostbite,Indie Award,Unknown,DE,?,9/10,33135,Metacritic ,?,N/A
Grand Theft Auto V,Racing,N/A,pc,64,RP,2020,Ubisoft,Unknown ,JP,Multiplayer,Frostbite,?,No,JP,80/100,?,92490.22153597174,IGN ,N/A,?
N/A,Indie,Free,Mobile,N/A,18+,1986,Activision,Ubisoft,JP,Single-player,Unreal Engine,?,Maybe,?,51.9,9/10,25727,Metacritic,N/A,?
Halo Infinite,Sports,Free,PS,4,RP,2016,Square Enix,Unknown ,Global ,Online,Unity,GotY,Yes,Multiple,?,9/10,?,Metacritic ,21.85,?
Red Dead Redemption 2,Action,86.46,XBOX,9,?,1989,Nintendo,Ubisoft,JP,Single-player,Frostbite,Indie Award,N,ES,N/A,9/10,61988.42914694368,Metacritic ,30M,$1B
Horizon Zero Dawn,Strategy,Free,XBOX,N/A,16,1994,Ubisoft ,IndiePub,NA/EU,Multiplayer,Unreal Engine,Nominated,Unknown,CN,80/100,N/A,22303,IGN ,10.88,?
Untitled Project,Strategy,0,Switch ,549.1850944680065,RP,1994,Bethesda,Microsoft,JP,Single-player,CryEngine,GOTY ,No,?,?,N/A,?,Steam,1.5M,$1B
The Witcher 3: Wild Hunt,Sports,44.05,PS,309.49030864677184,7+,2019,CapCom,IndiePub,Global,Single ,Custom,None,Y,Multiple,?,N/A,40734.75355600858,IGN ,30M,$1B
N/A,RPG,Free,PlayStation,N/A,3,2023,EA,EA,NA/EU,Online,Custom,Nominated,Unknown,CN,?,8.5,N/A,IGN,30M,592.7
Super Mario Odyssey,action,4.82,PC,?,unknown,2004,EA,Activision,?,Multi ,Unity,NONE,N,PT,38.4,?,23828,Metacritic,30M,$500M
Valorant,Strategy,$21,Mobile,?,?,2024,Activision,EA,NA/EU,Multi ,?,?,No,DE,80/100,N/A,65252.179651420905,IGN,42.9,$500M
Ghost of Tsushima,Unknown,Free,Nintendo Switch,100,16,2024,EA,IndiePub,JP,Single ,CryEngine,GOTY ,Maybe,ES,80/100,3.2,34575,Metacritic,?,$1B
NBA 2K24,Puzzle,114.45,PlayStation,N/A,7,2021,nintendo,Bandai Namco,NA,Online,?,GOTY ,Y,JP,33.1,9/10,89348.38773118939,Metacritic ,25.53,?
Persona 5 Royal,Action,0,Xbox,85,18,1987,Ubisoft,Square Enix,EU,Multi ,CryEngine,NONE,Y,CN,80/100,5.8,72162.72089763288,Steam,1.5M,$1B
Red Dead Redemption 2,Puzzle,Free,PS,?,18+,2011,Ubisoft ,EA,JP,Online,CryEngine,GotY,N,JP,80/100,N/A,N/A,OpenCritic,N/A,N/A
Persona 5 Royal,Shooter,13.98,Mobile,N/A,3,1996,nintendo,Ubisoft,NA/EU,Online,CryEngine,?,Y,JP,N/A,6.6,24297.69734625601,Metacritic ,30M,153.3
The Witcher 3: Wild Hunt,Shooter,?,XBOX,?,18,2016,Ubisoft,Sega,Global ,Multiplayer,Frostbite,NONE,Yes,JP,?,?,78035.99677929077,Metacritic ,?,N/A
The Witcher 3: Wild Hunt,Simulation,117.68,PlayStation,231.0421425444732,18,1994,Nintendo,Square Enix,Global ,Single-player,Unity ,Nominated,No,ES,80/100,9/10,?,Metacritic ,1.5M,323.9
Fortnite,Shooter,?,Mobile,174.4659200504305,18+,2001,Square Enix,Activision,Global,Single ,Unreal Engine,None,Maybe,PT,N/A,9.9,35015,IGN ,1.5M,$1B
Final Fantasy VII Remake,Racing,Free,Mobile,?,3,1994,Microsoft,Sony,Global,?,Unity,None,No,ES,80/100,9/10,68494.07813819668,Metacritic,1.5M,1208.1
Apex Legends,Adventure,0,pc,?,RP,2023,EA,?,NA,Co-op,CryEngine,GOTY ,No,EN,?,9/10,N/A,IGN,N/A,N/A
Horizon Zero Dawn,?,71.89,pc,108.43102690065409,7,2011,Ubisoft,Nintendo,NA,Single ,Unity,?,N,ES,80/100,N/A,49389,Metacritic ,N/A,1748.7
NBA 2K24,action,Free,Xbox,385.2341621662575,18+,2010,Ubisoft,Square Enix,Global,Multiplayer,Unity,NONE,?,ES,84.0,9/10,N/A,Metacritic,N/A,?
League of Legends,Adventure,Free,PlayStation,66,7+,2000,nintendo,Nintendo,?,Online,Unreal Engine,Indie Award,Yes,ES,81.5,5.6,N/A,Steam,1.5M,?
Assassin’s Creed Valhalla,RPG ,?,PC,N/A,RP,2003,EA,2K,NA,Single-player,Frostbite,?,Y,JP,80/100,9/10,N/A,IGN ,N/A,$1B
Horizon Zero Dawn,Sports,N/A,Mobile,465.1885481278896,RP,2003,nintendo,Ubisoft,NA,Single-player,Unity,NONE,N,CN,80/100,?,70969.86410893741,OpenCritic,1.5M,$500M
Unknown Game,action,N/A,pc,?,RP,1987,nintendo,Activision,NA,Multiplayer,Unreal Engine,GotY,Unknown,PT,80/100,N/A,33283,?,1.5M,$1B
Fortnite,Adventure,0,PS,394.5968438305286,unknown,N/A,Ubisoft,Nintendo,?,Co-op,Custom,Nominated,Y,EN/ES,88.4,?,8389,IGN ,12.86,N/A
Grand Theft Auto V,?,$62,Nintendo Switch,?,18,2013,Activision,Microsoft,NA,?,Frostbite,GOTY ,No,CN,?,?,?,?,15.71,?
The Witcher 3: Wild Hunt,Strategy,Free,Nintendo Switch,?,RP,2009,Microsoft,Square Enix,Global,Multi ,Unity ,GotY,?,DE,80/100,?,41133.12894717499,OpenCritic,1.5M,?
Final Fantasy VII Remake,Unknown,?,Nintendo Switch,99,3,2012,Unknown,EA,NA/EU,Online,CryEngine,None,Unknown,ES,80/100,N/A,3422,IGN ,?,634.5
Untitled Project,Action,?,XBOX,7,18+,1995,Microsoft,?,NA/EU,Multiplayer,Frostbite,?,N,CN,N/A,N/A,N/A,Metacritic ,?,$500M
Grand Theft Auto V,RPG,Free,Nintendo Switch,N/A,?,N/A,Sony,Unknown ,?,Single-player,?,NONE,N,CN,80/100,N/A,N/A,Steam,24.8,N/A
Unknown Game,Racing,$70,pc,65,16,2004,Rockstar,Nintendo,?,Co-op,Custom,?,Unknown,PT,?,N/A,N/A,Metacritic ,23.06,N/A
Persona 5 Royal,Indie,0,XBOX,?,12,2008,Microsoft,Microsoft,Global ,?,Unreal Engine,NONE,N,Multiple,53.8,?,44684,IGN,N/A,N/A
Final Fantasy VII Remake,action,35.17,PlayStation,N/A,18,1993,Unknown,Sega,NA/EU,Multiplayer,CryEngine,?,N,CN,23.9,N/A,65303.29079292951,Metacritic,34.97,?
Super Mario Odyssey,Adventure,?,Xbox,725.5634059811713,18+,2002,Microsoft,?,Global,Single-player,Unreal Engine,None,Y,CN,N/A,9/10,N/A,Steam,N/A,1894.3
Fortnite,Action,$64,Switch ,807.277070630831,?,2024,Rockstar,2K,NA,?,Frostbite,GOTY ,N,IT,68.6,9/10,?,IGN ,30M,$1B
Resident Evil 4,RPG ,0,pc,?,7,1990,Nintendo,Ubisoft,NA/EU,Multiplayer,Unreal Engine,?,N,EN,80/100,N/A,?,IGN,30M,N/A
The Witcher 3: Wild Hunt,Simulation,$36,Nintendo Switch,93,unknown,2019,EA,IndiePub,JP,Multiplayer,Frostbite,GOTY ,N,DE,N/A,?,N/A,OpenCritic,?,$1B
Resident Evil 4,Adventure,31.95,pc,81,7,1992,Bethesda,IndiePub,EU,Multiplayer,Custom Engine,GotY,No,ES,80/100,9/10,N/A,IGN ,N/A,N/A
FIFA 23,Sports,Free,PlayStation,339.72990496290254,16,2022,Ubisoft ,Sega,NA,Co-op,Custom,GOTY ,No,CN,80/100,9/10,?,Metacritic ,N/A,$500M
Halo Infinite,Indie,$57,pc,710.1171813014503,RP,2021,Capcom,Microsoft,?,Multi ,Custom,GOTY ,?,CN,N/A,0.5,39089,Metacritic,1.5M,555.1
Fortnite,Strategy,Free,Nintendo Switch,?,unknown,N/A,Nintendo,Unknown ,Global,?,Unreal Engine,GOTY ,Unknown,PT,N/A,3.8,74057.66067657602,IGN ,40.64,1941.1
Hades,Shooter,0,pc,N/A,7,2000,Capcom,Square Enix,EU,Multiplayer,?,Nominated,N,PT,N/A,9/10,37869.14868325958,?,11.94,1819.6
Unknown Game,action,60.23,Xbox,?,18+,2016,Activision,Nintendo,JP,Multi ,Custom,NONE,Yes,EN,?,N/A,?,Steam,15.98,?
Cyberpunk 2077,Sports,N/A,Xbox,N/A,7+,2002,Ubisoft,?,JP,Single ,Frostbite,None,Y,IT,N/A,9/10,?,IGN ,N/A,N/A
Overwatch,RPG,N/A,PlayStation,?,RP,2017,Activision,Unknown ,Global ,Multi ,Frostbite,Indie Award,Yes,EN/ES,86.1,9/10,17312,IGN,30M,$500M
Unknown Game,Simulation,?,Xbox,687.820634052571,7+,1993,Capcom,Sony,EU,Single ,Custom Engine,GOTY ,Maybe,EN/ES,N/A,N/A,37444,Steam,1.04,N/A
League of Legends,Shooter,1.98,Nintendo Switch,71,unknown,2008,Ubisoft,Square Enix,?,?,Unity,NONE,Unknown,EN/ES,68.9,9/10,?,OpenCritic,44.01,N/A
 ,Unknown,Free,PS,?,7,1993,Square Enix,Bandai Namco,NA/EU,Online,?,Nominated,?,CN,80/100,?,?,Metacritic ,30M,1574.2
Cyberpunk 2077,Shooter,N/A,Switch ,?,7+,9999,Unknown,Unknown ,Global,?,Frostbite,?,Maybe,IT,N/A,9/10,N/A,IGN ,30M,635.2
Halo Infinite,Unknown,?,PC,?,12,2002,Capcom,Unknown ,Global ,Online,Unity ,Nominated,Unknown,EN,?,?,?,OpenCritic,1.5M,?
Elden Ring,Unknown,30.09,PC,N/A,unknown,2018,Sony,EA,NA,Multiplayer,Custom Engine,GOTY ,Y,DE,N/A,4.1,43927,OpenCritic,31.39,?
The Witcher 3: Wild Hunt,Unknown,$30,PlayStation,67,7+,2013,Ubisoft ,Square Enix,NA/EU,Co-op,Custom Engine,GOTY ,No,PT,80/100,9/10,?,?,1.5M,?
Elden Ring,Racing,?,Nintendo Switch,39,7,1993,Square Enix,IndiePub,Global ,Online,Custom,None,N,?,80/100,6.7,28718.672599707195,IGN ,30M,$1B
League of Legends,action,N/A,Xbox,?,7,2009,CapCom,IndiePub,Global,?,?,?,Unknown,?,N/A,N/A,N/A,Metacritic ,N/A,N/A
